Bee_ID	location	population	latitude	longitude	collection_date	collection_time	collection_note	feral_nest	publication	wing_image_file	wing_length_cm	est_coverage	A	C	M
AR0115	Argentina	AR01	-36.2433333333333	-61.1127777777778	2018-01-24	9:41	foraging on vegetation	FALSE	This study	RW-Z-AR0115-05-30-19.JPG	0.870169462884563	8.949	0.0553067412190294	0.689987037168226	0.254706221612745
AR0110	Argentina	AR01	-36.2375	-61.1325	2018-01-23	20:20	foraging on vegetation	FALSE	This study	RW-G-AR0110-05-01-19.JPG	0.817802020082385	5.057	0.0305445499636326	0.787565466417952	0.181889983618415
AR0108	Argentina	AR01	-36.2313888888889	-61.1733333333333	2018-01-23	20:05	foraging on vegetation	FALSE	This study	LW-X-AR0108-05-15-19.JPG	0.896788068167262	4.296	0.0384069927635832	0.720432128998374	0.241160878238042
AR0109	Argentina	AR01	-36.2280555555556	-61.1472222222222	2018-01-23	20:13	foraging on vegetation	FALSE	This study	RW-W-AR0109-05-30-19.JPG	0.883625008965796	6.979	0.0523350282007458	0.725834135586536	0.221830836212719
AR0113	Argentina	AR01	-36.2255555555556	-61.1052777777778	2018-01-24	9:17	foraging on vegetation	FALSE	This study	RW-U-AR0113-05-30-19.JPG	0.891000454164774	5.342	0.0495241213816207	0.71554404003871	0.23493183857967
AR0111	Argentina	AR01	-36.2244444444444	-61.1233333333333	2018-01-24	8:58	foraging on vegetation	FALSE	This study	RW-C-AR0111-01-25-20.JPG	0.836247682908059	6.081	0.0651052961357981	0.721160766127597	0.213733937736605
AR0105	Argentina	AR01	-36.1983333333333	-61.1361111111111	2018-01-23	19:48	foraging on vegetation	FALSE	This study	RW-C-AR0105-05-01-19.JPG	0.83858635078585	6.208	0.0503564271880375	0.733644127215665	0.215999445596297
AR0103	Argentina	AR01	-36.1822222222222	-61.1158333333333	2018-01-23	19:40	foraging on vegetation	FALSE	This study	RW-Z-AR0103-05-01-19.JPG	0.928336044542085	5.603	0.0413456166906487	0.715587158161387	0.243067225147965
AR0101	Argentina	AR01	-36.1527777777778	-61.0769444444445	2018-01-23	19:30	foraging on vegetation	FALSE	This study	RW-B-AR0101-05-01-19.JPG	0.888362712055568	7.925	0.0442255084372664	0.764565911307047	0.191208580255687
AR0315	Argentina	AR03	-35.8305555555556	-60.935	2018-01-23	19:00	foraging on vegetation	FALSE	This study	RW-V-AR0315-05-01-19.JPG	0.895063464961269	4.13	0.0203928633637246	0.763494801365529	0.216112335270747
AR0312	Argentina	AR03	-35.8113888888889	-60.8972222222222	2018-01-23	18:37	foraging on vegetation	FALSE	This study	RW-C-AR0312-05-01-19.JPG	0.846438689992669	5.261	0.0118768211723454	0.769898671988163	0.218224506839491
AR0311	Argentina	AR03	-35.8005555555556	-60.9108333333333	2018-01-23		foraging on vegetation	FALSE	This study	RW-V-AR_0311-03-14-19.JPG	0.860777224735213	12.367	0.0208616442822112	0.756216341278067	0.222922014439722
AR0309	Argentina	AR03	-35.7811111111111	-60.9194444444444	2018-01-23	17:58	foraging on vegetation	FALSE	This study	RW-Y-AR0309-05-30-19.JPG	0.888401159439614	5.44	0.0123232338172232	0.749781800922712	0.237894965260065
AR0308	Argentina	AR03	-35.7711111111111	-60.9061111111111	2018-01-23	17:46	foraging on vegetation	FALSE	This study	RW-R-AR0308-05-30-19.JPG	0.891676597139468	4.375	1.18619055011968e-05	0.817166471597539	0.18282166649696
AR0306	Argentina	AR03	-35.7597222222222	-60.8852777777778	2018-01-23	17:16	foraging on vegetation	FALSE	This study	RW-W-AR0306-05-01-19.JPG	0.885358406206484	6.62	0.00474135971948793	0.745173412023804	0.250085228256708
AR0302	Argentina	AR03	-35.7472222222222	-60.855	2018-01-23	16:50	foraging on vegetation	FALSE	This study	RW-A-AR_0302-03-14-19.JPG	0.88245960296593	2.747	0.0394046017405222	0.769181833749105	0.191413564510373
AR0305	Argentina	AR03	-35.7202777777778	-60.8741666666667	2018-01-23	17:08	foraging on vegetation	FALSE	This study	RW-Y-AR0305-05-01-19.JPG	0.884417211408627	6.923	0.039276162043765	0.727396595600015	0.23332724235622
AR0501	Argentina	AR05	-35.46	-60.9222222222222	2018-01-23	13:04	foraging on vegetation	FALSE	This study	LW-V-AR_0501-05-01-19.JPG	NA	3.396	0.0601116582712863	0.74677697734291	0.193111364385803
AR0504	Argentina	AR05	-35.4513888888889	-60.9022222222222	2018-01-23	13:21	foraging on vegetation	FALSE	This study	RW-C-AR0504-01-25-20.JPG	0.863412149457078	3.153	0.0259820935878885	0.726074439639415	0.247943466772697
AR0506	Argentina	AR05	-35.4397222222222	-60.9022222222222	2018-01-23	13:40	foraging on vegetation	FALSE	This study	RW-S-AR0506-05-30-19.JPG	0.901282948904722	6.21	0.0182159938846977	0.781671859101321	0.200112147013982
AR0507	Argentina	AR05	-35.4247222222222	-60.9158333333333	2018-01-23	13:48	foraging on vegetation	FALSE	This study	RW-V-AR0507-05-30-19.JPG	0.87127071977093	4.186	0.0158025192099953	0.714071133885598	0.270126346904406
AR0509	Argentina	AR05	-35.4083333333333	-60.9288888888889	2018-01-23	14:15	foraging on vegetation	FALSE	This study	RW-A-AR0509-05-30-19.JPG	0.874310336350183	2.864	0.0198969097926534	0.776831763964312	0.203271326243034
AR0515	Argentina	AR05	-35.3886111111111	-61.0097222222222	2018-01-23	14:59	foraging on vegetation	FALSE	This study	RW-S-AR0515-05-30-19.JPG	0.859516367021821	8.764	0.0728149666081717	0.766494604286661	0.160690429105168
AR0513	Argentina	AR05	-35.3877777777778	-60.9863888888889	2018-01-23	14:45	foraging on vegetation	FALSE	This study	RW-C-AR0513-05-30-19.JPG	0.825436155696355	3.402	0.157883575556688	0.56342629402579	0.278690130417521
AR0510	Argentina	AR05	-35.3866666666667	-60.9508333333333	2018-01-23	14:30	foraging on vegetation	FALSE	This study	RW-A-AR0510-05-30-19.JPG	0.891718188433572	5.227	0.0351324054323303	0.722308420081842	0.242559174485828
AR0511	Argentina	AR05	-35.3863888888889	-60.9619444444444	2018-01-23	14:35	foraging on vegetation	FALSE	This study	LW-B-AR_0511-03-14-19.JPG	0.894464260859268	3.241	0.0387863282845179	0.804670820657029	0.156542851058454
AR0613	Argentina	AR06	-35.0016666666667	-61.0533333333333	2018-01-23	11:32	foraging on vegetation	FALSE	This study	RW-Q-AR0613-05-30-19.JPG	0.87765108449999	2.939	0.0319540684387834	0.747831158752032	0.220214772809185
AR0617	Argentina	AR06	-34.9994444444444	-61.0344444444444	2018-01-23	11:51	foraging on vegetation	FALSE	This study	RW-T-AR_0617-03-14-19.JPG	0.906246879334258	2.42	0.0307816440957462	0.748997377766409	0.220220978137845
AR0611	Argentina	AR06	-34.9969444444444	-61.0355555555556	2018-01-23	11:08	foraging on vegetation	FALSE	This study	RW-A-AR0611-05-01-19.JPG	0.884710980506523	6.969	0.0898386489010195	0.694196878766492	0.215964472332489
AR0606	Argentina	AR06	-34.9941666666667	-61.0116666666667	2018-01-23	10:21	foraging on vegetation	FALSE	This study	RW-D-AR0606-05-15-19.JPG	0.781055709328049	4.114	0.0394502040622957	0.733678660275363	0.226871135662341
AR0605	Argentina	AR06	-34.9177777777778	-61.0147222222222	2018-01-23	9:37	foraging on vegetation	FALSE	This study	RW-D-AR0605-05-15-19.JPG	0.840869726870101	6.045	0.0607641673439382	0.708587560805755	0.230648271850307
AR0604	Argentina	AR06	-34.9077777777778	-61.0161111111111	2018-01-23	9:32	foraging on vegetation	FALSE	This study	RW-X-AR0604-05-30-19.JPG	0.899388748128927	6.147	0.0301021241373934	0.742068336358153	0.227829539504453
AR0603	Argentina	AR06	-34.8991666666667	-61.0061111111111	2018-01-23	9:25	foraging on vegetation	FALSE	This study	RW-V-AR0603-05-15-19.JPG	0.847118540982787	3.811	0.0345532009197621	0.762594017915857	0.202852781164381
AR0602	Argentina	AR06	-34.8942	-61	2018-01-23	9:20	foraging on vegetation	FALSE	This study	RW-Q-AR_0602-03-07-19.JPG	0.873476244225992	1.482	0.0344820029474342	0.772271334675598	0.193246662376968
AR0818	Argentina	AR08	-34.5761111111111	-60.9113888888889	2018-01-22	19:59	foraging on vegetation	FALSE	This study	RW-S-AR0818-05-01-19.JPG	0.855600840180271	9.59	0.021545110648826	0.773500003117985	0.204954886233189
AR0816	Argentina	AR08	-34.5730555555556	-60.9075	2018-01-22	19:53	foraging on vegetation	FALSE	This study	RW-V-AR0816-05-30-19.JPG	0.86795777581524	5.858	0.0428569250252923	0.727274544516706	0.229868530458002
AR0809	Argentina	AR08	-34.5694444444444	-60.9122222222222	2018-01-22	18:36	foraging on vegetation	FALSE	This study	RW-U-AR0809-05-30-19.JPG	0.910094994573033	9.755	0.02716514909692	0.756775570047331	0.216059280855749
AR0811	Argentina	AR08	-34.5686111111111	-60.905	2018-01-22	18:45	foraging on vegetation	FALSE	This study	RW-Z-AR0811-05-01-19.JPG	0.910528689333918	6.911	0.0363778900304222	0.727073789881446	0.236548320088132
AR0813	Argentina	AR08	-34.5638888888889	-60.8841666666667	2018-01-22	18:56	foraging on vegetation	FALSE	This study	RW-F-AR0813-05-15-19.JPG	0.846918602111243	4.934	0.0489453453549256	0.710112103082009	0.240942551563065
AR0814	Argentina	AR08	-34.5616666666667	-60.8738888888889	2018-01-22	19:05	foraging on vegetation	FALSE	This study	LW-Q-AR_0814-03-14-19.JPG	0.862654587078774	1.584	0.0612498051601816	0.724827438396265	0.213922756443554
AR0815	Argentina	AR08	-34.5613888888889	-60.8719444444444	2018-01-22	19:23	foraging on vegetation	FALSE	This study	RW-U-AR0815-05-01-19.JPG	0.874704025532474	4.536	0.0631610603591887	0.737876796865377	0.198962142775434
AR0804	Argentina	AR08	-34.5580555555556	-60.9294444444444	2018-01-22	17:37	foraging on vegetation	FALSE	This study	RW-D-AR_0804-03-14-19.JPG	0.835313463807783	8.116	0.0664590300839796	0.682722106719433	0.250818863196587
AR0802	Argentina	AR08	-34.5527777777778	-60.9313888888889	2018-01-22	16:45	foraging on vegetation	FALSE	This study	RW-H-AR0802-05-15-19.JPG	0.83885481281661	4.813	0.0614925965834921	0.7145097603352	0.223997643081308
AR0915	Argentina	AR09	-34.2030555555556	-60.7355555555556	2018-01-22	15:30	foraging on vegetation	FALSE	This study	RW-Q-AR0915-05-01-19.JPG	0.883847992789663	4.96	0.106801044965867	0.64327273836094	0.249926216673193
AR0907	Argentina	AR09	-34.1978	-60.7224	2018-01-22	14:10	foraging on vegetation	FALSE	This study	RW-G-AR0907-05-30-19.JPG	0.883969501895483	5.455	0.163556570130412	0.497517210937472	0.338926218932116
AR0910	Argentina	AR09	-34.1942	-60.7271	2018-01-22	14:30	foraging on vegetation	FALSE	This study	LW-S-AR_0910-03-14-19.JPG	0.873037592419036	5.085	0.0636597808791866	0.643502784208938	0.292837434911876
AR0903	Argentina	AR09	-34.1839	-60.6993	2018-01-22	13:20	foraging on vegetation	FALSE	This study	RW-A-AR0903-05-30-19.JPG	0.858144676610718	6.384	0.224089600367821	0.538646602797077	0.237263796835102
AR0904	Argentina	AR09	-34.1831	-60.6997	2018-01-22	13:25	foraging on vegetation	FALSE	This study	RW-W-AR0904-05-30-19.JPG	0.872926171423466	3.464	0.204151231795086	0.514435394276436	0.281413373928478
AR0913	Argentina	AR09	-34.1816666666667	-60.7391666666667	2018-01-22	15:00	foraging on vegetation	FALSE	This study	RW-F-AR0913-05-30-19.JPG	0.86374379283913	9.762	0.137699525475684	0.592384060044735	0.269916414479581
AR0902	Argentina	AR09	-34.1714	-60.6856	2018-01-22	13:15	foraging on vegetation	FALSE	This study	RW-F-AR_0902-03-14-19.JPG	0.877743407535612	3.295	0.114356425117318	0.571426330832307	0.314217244050375
AR0901	Argentina	AR09	-34.1315	-60.6625	2018-01-22	13:00	foraging on vegetation	FALSE	This study	RW-A-AR0901-05-15-19.JPG	0.854455249989296	5.474	0.218886174810452	0.456185009274722	0.324928815914826
AR1019	Argentina	AR10	-33.7536	-60.4401	2018-01-22	11:00	foraging on vegetation	FALSE	This study	RW-W-AR1019-05-15-19.JPG	0.870163909608874	5.429	0.186279105571386	0.506416074759462	0.307304819669152
AR1017	Argentina	AR10	-33.7525	-60.442	2018-01-22	10:50	foraging on vegetation	FALSE	This study	RW-G-AR1017-05-01-19.JPG	0.84633016217282	4.815	0.228783734958951	0.444707116202334	0.326509148838715
AR1016	Argentina	AR10	-33.7222222222222	-60.3747222222222	2018-01-22	10:45	foraging on vegetation	FALSE	This study	RW-C-AR_1016-03-14-19.JPG	0.813434909872175	1.636	0.162912756555402	0.485171887191771	0.351915356252827
AR1012	Argentina	AR10	-33.7133333333333	-60.3827777777778	2018-01-22	10:20	foraging on vegetation	FALSE	This study	RW-U-AR1012-05-15-19.JPG	0.863503003675207	2.592	0.205344829173293	0.431742705146758	0.362912465679949
