phenotype	QTL_name	marker	comments	LG	scaffold	start	end	citation	positions_from	alternative_notation
Defense response	sting1	stsN4-.245	Marker sig. for flying (P < 0.05) and stinging (P < 0.01)	Group7	NC_037644.1	1871233	1871476	Hunt et al. 1998; Hunt et al. 2007	Sequences from Hunt et al. 1998 (main text) and Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	stsN4-.245F; stsN4-.245R
Defense response	sting1	sts25-.44	Marker within 97% CI	Group7	NC_037644.1	3084916	3084936	Hunt et al. 1998; Hunt et al. 2007	Sequences from Hunt et al. 1998 (main text) and Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	sts25-44; 25.44F; 25.44R
Defense response	sting1	a12.086	Marker within 97% CI	Group7	NC_037644.1	2818524	2818555	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting1	a43.145	Marker within 97% CI	Group7	NC_037644.1	2664780	2664885	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting1	a17.080	Confirming marker: Individual guarding	Group7	NC_037644.1	2593835	2594404	Hunt et al. 1998; Hunt et al. 2007	Sequences from Arechavaleta-Velasco, Hunt and Emore 2003 (main text) and Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	a17-.080; A17.080
Defense response	sting1	a17.08-1.5	Marker within 97% CI	NA	NA	NA	NA	Hunt et al. 1998; Hunt et al. 2007	No sequences found.	NA
Defense response	sting1	GRP7.17	Marker within 97% CI	Group7	NC_037644.1	2385214	2385739	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	GRP7.17-3
Defense response	sting1	a51.105	Marker within 97% CI	Group7	NC_037644.1	1923679	1923758	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting1	N4p88k1	Marker within 97% CI	Group7	NC_037644.1	1917703	1918160	Hunt et al. 1998; Hunt et al. 2007	Sequences from Arechavaleta-Velasco, Hunt and Emore 2003 (main text) mapped to HAv3.1 with BLASTn	NA
Defense response	sting1	N4-.27	Confirming marker: Individual stinging (2 studies) and individual guarding	NA	NA	NA	NA	Hunt et al. 1998; Hunt et al. 2007	No sequences found.	NA
Defense response	sting1	450-.3	Marker within 97% CI; (! different chromosome)	Group1	NC_037638.1	23068215	23068428	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting1	a31.200	Marker within 97% CI	Group7	NC_037644.1	1539514	1539669	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting2	a45.170	Marker within 97% CI	Group3	NC_037640.1	2747503	2747638	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting2	O1-.43	Marker within 97% CI	Group3	NC_037640.1	3097531	3097921	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	O1-.43F; O1-.43R
Defense response	sting2	a17.242	Marker within 97% CI; (! different chromosome)	Group1	NC_037638.1	3687381	3687588	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting2	a11.310	Confirming marker: Individual guarding	Group3	NC_037640.1	3714668	3714690	Hunt et al. 1998; Hunt et al. 2007	Sequences from Arechavaleta-Velasco, Hunt and Emore 2003 (main text) mapped to HAv3.1 with BLASTn	NA
Defense response	sting3	a44.180	Marker within 97% CI	Group2	NC_037639.1	4709843	4709991	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting3	a74.320	Marker within 97% CI	NA	NA	NA	NA	Hunt et al. 1998; Hunt et al. 2007	No sequences found.	NA
Defense response	sting3	a45.085	Marker within 97% CI; (! different chromosome)	Group6	NC_037643.1	624146	624196	Hunt et al. 1998; Hunt et al. 2007	Sequences from Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	NA
Defense response	sting3	a64.084	Confirming marker: Individual guarding	Group2	NC_037639.1	4458252	4458940	Hunt et al. 1998; Hunt et al. 2007	Sequences from Arechavaleta-Velasco, Hunt and Emore 2003 (main text) and Harpur 2020 (Dryad) mapped to HAv3.1 with BLASTn	a64-.084
Defense response	sting3	H19-.6	Marker within 97% CI	NA	NA	NA	NA	Hunt et al. 1998; Hunt et al. 2007	No sequences found.	NA
Defense response	sting3	a22.16	Marker within 97% CI	NA	NA	NA	NA	Hunt et al. 1998; Hunt et al. 2007	No sequences found.	NA
Varroa sensitive hygiene	unnamed_VSH1	1_17408194	LOD-1.5 support interval	Group1	NC_037638.1	16219824	16219944	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_17484642	LOD-1.5 support interval	Group1	NC_037638.1	16296442	16296559	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_17577515	LOD-1.5 support interval	Group1	NC_037638.1	16388861	16388973	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_17928878	LOD-1.5 support interval	Group1	NC_037638.1	16719553	16719673	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_18094359	LOD-1.5 support interval	Group1	NC_037638.1	16840871	16840977	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_18214692	LOD-1.5 support interval	Group1	NC_037638.1	16962104	16962224	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_18318085	LOD-1.5 support interval	Group1	NC_037638.1	17262699	17262579	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_18496051	LOD-1.5 support interval	Group1	NC_037638.1	17083346	17083226	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_18596602	LOD-1.5 support interval	Group1	NC_037638.1	17335598	17335715	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
