scaffold	start	end	source	Name	BEEBASE	gene_biotype	DAVID_gene_name	High_A_outlier_North_America_FDR	High_A_outlier_South_America_FDR	Low_A_outlier_South_America_FDR	Low_A_outlier_North_America_FDR
NC_037648.1	13860605	13923685	Gnomon	LOC552619	GB44974	protein_coding	hepatocyte nuclear factor 6(LOC552619)	NA	NA	0.05	NA
NC_037648.1	13935790	13939562	Gnomon	LOC725952	GB44973	protein_coding	uncharacterized LOC725952(LOC725952)	NA	NA	0.1	NA
NC_037648.1	13939676	13987149	Gnomon	LOC408311	GB44972	protein_coding	catenin delta-2(LOC408311)	NA	NA	0.01	NA
NC_037648.1	13954069	13958630	Gnomon	LOC102654792	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	13974633	13976928	Gnomon	LOC102654712	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	13987142	13990427	Gnomon	LOC726018	GB44971	protein_coding	replication factor C subunit 4-like(LOC726018)	NA	NA	0.01	NA
NC_037648.1	13990682	13993935	Gnomon	LOC408312	GB45194	protein_coding	tyrosine-protein kinase transmembrane receptor Ror2(LOC408312)	NA	NA	0.01	NA
NC_037648.1	13994736	13996257	Gnomon	LOC107965270	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	13996325	14000301	Gnomon	LOC410255	GB44970	protein_coding	RUN domain-containing protein 1(LOC410255)	NA	NA	0.01	NA
NC_037648.1	14000525	14006037	Gnomon	LOC410256	GB45195	protein_coding	protein lap1(LOC410256)	NA	NA	0.01	NA
NC_037648.1	14008982	14013695	Gnomon	LOC552557	GB44969	protein_coding	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial(LOC552557)	NA	NA	0.01	NA
NC_037648.1	14013458	14014950	Gnomon	LOC113219126	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14015126	14045583	BestRefSeq%2CGnomon	mGlutR1	GB44968	NA	metabotropic glutamate receptor 1(mGlutR1)	NA	NA	0.01	NA
NC_037648.1	14045600	14052256	Gnomon	LOC410257	GB45197	protein_coding	cysteine protease ATG4D(LOC410257)	NA	NA	0.01	NA
NC_037648.1	14053070	14055264	Gnomon	LOC552511	GB44967	protein_coding	GTP:AMP phosphotransferase AK3, mitochondrial(LOC552511)	NA	NA	0.05	NA
NC_037648.1	14055463	14059408	Gnomon	LOC410258	GB44966	protein_coding	selenide, water dikinase(LOC410258)	NA	NA	0.01	NA
NC_037648.1	14060221	14062244	Gnomon	LOC408314	GB44964	protein_coding	uncharacterized LOC408314(LOC408314)	NA	NA	0.01	NA
NC_037648.1	14062936	14084011	Gnomon	LOC408315	GB45199	protein_coding	ceramide kinase(LOC408315)	NA	NA	0.01	NA
NC_037648.1	14072787	14075420	Gnomon	LOC102655785	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14089273	14168184	Gnomon	LOC410259	GB44961	protein_coding	nuclear factor 1 X-type(LOC410259)	NA	NA	0.01	NA
NC_037648.1	14099940	14103139	Gnomon	LOC107965165	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14160301	14162720	Gnomon	LOC102656080	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14171667	14173651	Gnomon	LOC726301	GB44960	protein_coding	actin-related protein 2/3 complex subunit 4(LOC726301)	NA	NA	0.01	NA
NC_037648.1	14173149	14176410	Gnomon	LOC100577687	GB45202	protein_coding	nucleoporin-like protein 2(LOC100577687)	NA	NA	0.01	NA
NC_037648.1	14176485	14184439	BestRefSeq	LOC408316	GB44959	NA	uncharacterized LOC408316(LOC408316)	NA	NA	0.01	NA
NC_037648.1	14187573	14193398	Gnomon	LOC113219094	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14188004	14189320	Gnomon	LOC102656537	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14197851	14200831	Gnomon	LOC113219095	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14201123	14204777	Gnomon	LOC113219113	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14208346	14211195	Gnomon	LOC102656683	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14210801	14212816	Gnomon	LOC107965290	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14214819	14215922	Gnomon	LOC102656707	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14216762	14229944	Gnomon	LOC107965253	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14231873	14231958	BestRefSeq	Mir8	NA	NA	NA	NA	NA	0.01	NA
